sample_id,regime,tau_norm,s1,s2,s3,s4,s5,k_star,norm_at_kstar
256,threshold,5.0,-267.72674560546875,12.430890083312988,14139.1533203125,59.31976318359375,4.975442886352539,213,4.986158847808838
257,threshold,5.0,-366.63037109375,19.477397918701172,14520.2685546875,56.205482482910156,6.241377830505371,248,6.241377830505371
258,threshold,5.0,-322.93768310546875,16.266956329345703,14334.423828125,53.93233871459961,5.703850746154785,248,5.703850746154785
259,threshold,5.0,-256.7130432128906,12.461705207824707,11962.8173828125,59.32182312011719,4.974261283874512,238,4.992335319519043
260,threshold,5.0,-308.68499755859375,17.82331657409668,12309.015625,55.87390899658203,5.970479965209961,248,5.970479965209961
261,threshold,5.0,-320.289794921875,15.643974304199219,14235.5341796875,59.90576171875,5.593563079833984,248,5.593563079833984
262,threshold,5.0,-345.19049072265625,16.245357513427734,20066.751953125,49.91712951660156,5.7000627517700195,248,5.7000627517700195
263,threshold,5.0,-250.33334350585938,12.607902526855469,13790.6845703125,57.16117858886719,5.021533966064453,248,5.021533966064453
264,threshold,5.0,-250.38327026367188,12.475214004516602,10552.9287109375,58.85072708129883,4.9805521965026855,241,4.995039939880371
265,threshold,5.0,-216.8745574951172,12.438652038574219,15472.0576171875,49.76292037963867,4.96640157699585,189,4.987715244293213
266,threshold,5.0,-279.940185546875,14.643970489501953,11332.8505859375,59.72660827636719,5.4118332862854,248,5.4118332862854
267,threshold,5.0,-240.97921752929688,12.446816444396973,10375.580078125,58.11042022705078,4.972961902618408,197,4.989351749420166
268,threshold,5.0,-324.15216064453125,16.384113311767578,15466.388671875,60.448890686035156,5.724353790283203,248,5.724353790283203
269,threshold,5.0,-205.8777313232422,12.44721794128418,10614.943359375,52.220943450927734,4.968504428863525,224,4.989432334899902
270,threshold,5.0,-239.00933837890625,12.571557998657227,10021.80078125,57.3780517578125,5.014291286468506,248,5.014291286468506
271,threshold,5.0,-343.5478820800781,19.88202667236328,15145.0146484375,54.33290100097656,6.305874347686768,248,6.305874347686768
